"trial", "register", "rdistance","strength", "edistance"
0,0.0,90.0,-7729.0,100
0,1.0,252.0,2318.0,100
0,0.0,90.0,-8100.0,100
0,1.0,251.0,2473.0,100
0,0.0,90.0,-7727.0,100
0,1.0,252.0,2949.0,100
0,0.0,91.0,-7831.0,100
0,1.0,252.0,3348.0,100
0,0.0,90.0,-7729.0,100
0,1.0,251.0,3263.0,100
0,0.0,90.0,-7683.0,100
0,1.0,252.0,2717.0,100
0,0.0,89.0,-7903.0,100
0,1.0,252.0,3307.0,100
0,0.0,90.0,-7788.0,100
0,1.0,251.0,3123.0,100
0,0.0,90.0,-7824.0,100
0,1.0,252.0,3634.0,100
0,0.0,90.0,-7970.0,100
0,1.0,251.0,3376.0,100
0,0.0,90.0,-7931.0,100
0,1.0,251.0,2893.0,100
0,0.0,90.0,-7666.0,100
0,1.0,251.0,2735.0,100
0,0.0,90.0,-7975.0,100
0,1.0,252.0,2474.0,100
0,0.0,90.0,-7842.0,100
0,1.0,253.0,3347.0,100
0,0.0,90.0,-7775.0,100
0,1.0,251.0,3015.0,100
0,0.0,90.0,-7727.0,100
0,1.0,251.0,3203.0,100
0,0.0,90.0,-7847.0,100
0,1.0,252.0,3032.0,100
0,0.0,90.0,-7911.0,100
0,1.0,252.0,3374.0,100
0,0.0,90.0,-7710.0,100
0,1.0,252.0,3551.0,100
0,0.0,90.0,-7939.0,100
0,1.0,252.0,3530.0,100
0,0.0,91.0,-7680.0,100
0,1.0,252.0,3028.0,100
0,0.0,90.0,-7947.0,100
0,1.0,252.0,3296.0,100
0,0.0,90.0,-8038.0,100
0,1.0,252.0,3162.0,100
0,0.0,90.0,-8037.0,100
0,1.0,252.0,3301.0,100
0,0.0,90.0,-7946.0,100
0,1.0,253.0,3303.0,100
0,0.0,90.0,-7640.0,100
0,1.0,253.0,3310.0,100
0,0.0,90.0,-7832.0,100
0,1.0,251.0,3035.0,100
0,0.0,90.0,-7858.0,100
0,1.0,251.0,2971.0,100
0,0.0,90.0,-7866.0,100
0,1.0,251.0,2963.0,100
0,0.0,90.0,-7869.0,100
0,1.0,252.0,3329.0,100
0,0.0,91.0,-7814.0,100
0,1.0,252.0,2927.0,100
0,0.0,91.0,-7698.0,100
0,1.0,252.0,3048.0,100
0,0.0,90.0,-7622.0,100
0,1.0,252.0,2771.0,100
0,0.0,90.0,-8020.0,100
0,1.0,252.0,2901.0,100
0,0.0,90.0,-7599.0,100
0,1.0,252.0,3284.0,100
0,0.0,90.0,-7501.0,100
0,1.0,252.0,3015.0,100
0,0.0,90.0,-7871.0,100
0,1.0,252.0,2854.0,100
0,0.0,90.0,-8091.0,100
0,1.0,253.0,3293.0,100
0,0.0,90.0,-7818.0,100
0,1.0,252.0,2791.0,100
0,0.0,89.0,-7961.0,100
0,1.0,251.0,3090.0,100
0,0.0,90.0,-7791.0,100
0,1.0,252.0,2910.0,100
0,0.0,90.0,-7630.0,100
0,1.0,251.0,2850.0,100
0,0.0,90.0,-7869.0,100
0,1.0,252.0,3130.0,100
0,0.0,90.0,-7977.0,100
0,1.0,251.0,3268.0,100
0,0.0,91.0,-7684.0,100
0,1.0,252.0,3342.0,100
0,0.0,90.0,-7924.0,100
0,1.0,252.0,3099.0,100
0,0.0,90.0,-8125.0,100
0,1.0,252.0,3643.0,100
0,0.0,90.0,-7925.0,100
0,1.0,252.0,3429.0,100
0,0.0,91.0,-7605.0,100
0,1.0,252.0,3009.0,100
0,0.0,90.0,-7530.0,100
0,1.0,252.0,3036.0,100
1,0.0,86.0,-7441.0,96
1,1.0,247.0,2631.0,96
1,0.0,86.0,-7396.0,96
1,1.0,248.0,2529.0,96
1,0.0,86.0,-6816.0,96
1,1.0,248.0,2269.0,96
1,0.0,89.0,-7446.0,96
1,1.0,247.0,2415.0,96
1,0.0,248.0,2718.0,96
1,0.0,88.0,-7142.0,96
1,1.0,247.0,2271.0,96
1,0.0,87.0,-7061.0,96
