trial,register,rdistance,strength,edistance
0,0.0,58.0,-13990.0,200
0,1.0,203.0,-17263.0,200
0,0.0,58.0,-14048.0,200
0,1.0,204.0,-17390.0,200
0,0.0,58.0,-14063.0,200
0,1.0,204.0,-17145.0,200
0,0.0,58.0,-13929.0,200
0,1.0,203.0,-17511.0,200
0,0.0,58.0,-13993.0,200
0,1.0,202.0,-17750.0,200
0,0.0,58.0,-13925.0,200
0,1.0,204.0,-17351.0,200
0,0.0,57.0,-13832.0,200
0,1.0,203.0,-17605.0,200
0,0.0,57.0,-13918.0,200
0,1.0,204.0,-17515.0,200
0,0.0,57.0,-14022.0,200
0,1.0,203.0,-17625.0,200
0,0.0,57.0,-13939.0,200
0,1.0,204.0,-17519.0,200
0,0.0,57.0,-13855.0,200
0,1.0,204.0,-17545.0,200
0,0.0,58.0,-14094.0,200
0,1.0,203.0,-17553.0,200
0,0.0,57.0,-13966.0,200
0,1.0,199.0,-17209.0,200
0,0.0,58.0,-14054.0,200
0,1.0,203.0,-17406.0,200
0,0.0,58.0,-13922.0,200
0,1.0,201.0,-17479.0,200
0,0.0,58.0,-13942.0,200
0,1.0,204.0,-17440.0,200
0,0.0,57.0,-13973.0,200
0,1.0,204.0,-17510.0,200
0,0.0,57.0,-13932.0,200
0,1.0,203.0,-17599.0,200
0,0.0,57.0,-13974.0,200
0,1.0,204.0,-18090.0,200
0,0.0,57.0,-13991.0,200
0,1.0,204.0,-17724.0,200
0,0.0,57.0,-13876.0,200
0,1.0,203.0,-17649.0,200
0,0.0,57.0,-14051.0,200
0,1.0,204.0,-17300.0,200
0,0.0,58.0,-14010.0,200
0,1.0,201.0,-17012.0,200
0,0.0,58.0,-14045.0,200
0,1.0,200.0,-17014.0,200
0,0.0,57.0,-13984.0,200
0,1.0,198.0,-17356.0,200
0,0.0,58.0,-13948.0,200
0,1.0,202.0,-17418.0,200
0,0.0,58.0,-14092.0,200
0,1.0,204.0,-17427.0,200
0,0.0,57.0,-14062.0,200
0,1.0,205.0,-17240.0,200
0,0.0,58.0,-14002.0,200
0,1.0,204.0,-17058.0,200
0,0.0,58.0,-14094.0,200
0,1.0,203.0,-17124.0,200
0,0.0,57.0,-13996.0,200
0,1.0,203.0,-17100.0,200
0,0.0,58.0,-13861.0,200
0,1.0,201.0,-17592.0,200
0,0.0,58.0,-13960.0,200
0,1.0,204.0,-17536.0,200
0,0.0,57.0,-14020.0,200
0,1.0,202.0,-17946.0,200
0,0.0,58.0,-13977.0,200
0,1.0,202.0,-17382.0,200
0,0.0,58.0,-13968.0,200
0,1.0,203.0,-17415.0,200
0,0.0,57.0,-13868.0,200
0,1.0,202.0,-17680.0,200
0,0.0,57.0,-13956.0,200
0,1.0,204.0,-17566.0,200
0,0.0,57.0,-13958.0,200
0,1.0,203.0,-17459.0,200
0,0.0,57.0,-13971.0,200
0,1.0,203.0,-17703.0,200
0,0.0,57.0,-13948.0,200
0,1.0,204.0,-17456.0,200
0,0.0,58.0,-14041.0,200
0,1.0,203.0,-17392.0,200
0,0.0,57.0,-13943.0,200
0,1.0,201.0,-17609.0,200
0,0.0,58.0,-13985.0,200
0,1.0,205.0,-17747.0,200
0,0.0,58.0,-14013.0,200
0,1.0,198.0,-17250.0,200
0,0.0,57.0,-13847.0,200
0,1.0,204.0,-17987.0,200
0,0.0,58.0,-13992.0,200
0,1.0,204.0,-17897.0,200
0,0.0,58.0,-13890.0,200
0,1.0,201.0,-16855.0,200
0,0.0,58.0,-14029.0,200
0,1.0,203.0,-17501.0,200
0,0.0,58.0,-13974.0,200
0,1.0,199.0,-16962.0,200
1,0.0,201.0,-10939.0,190
1,1.0,58.0,-13933.0,190
1,0.0,200.0,-11111.0,190
1,1.0,58.0,-13973.0,190
1,0.0,201.0,-10788.0,190
1,1.0,58.0,-14109.0,190
1,0.0,202.0,-11251.0,190
1,1.0,57.0,-13995.0,190
1,0.0,201.0,-11247.0,190
1,1.0,57.0,-13917.0,190
1,0.0,202.0,-10744.0,190
1,1.0,58.0,-14065.0,190
1,0.0,201.0,-11353.0,190
1,1.0,58.0,-14044.0,190
1,0.0,201.0,-11323.0,190
1,1.0,58.0,-14008.0,190
1,0.0,202.0,-11269.0,190
1,1.0,58.0,-13995.0,190
1,0.0,200.0,-10971.0,190
1,1.0,58.0,-14086.0,190
1,0.0,201.0,-11276.0,190
1,1.0,58.0,-13849.0,190
1,0.0,202.0,-10790.0,190
1,1.0,57.0,-13895.0,190
1,0.0,201.0,-11030.0,190
1,1.0,58.0,-14043.0,190
1,0.0,201.0,-11120.0,190
1,1.0,57.0,-13980.0,190
1,0.0,202.0,-11101.0,190
