trial,register,rdistance,strength,edistance
0,0.0,227.0,-92.0,70
0,1.0,73.0,-8168.0,70
0,2.0,139.0,-12555.0,70
0,10.0,145.0,-11551.0,70
0,11.0,214.0,-14989.0,70
0,12.0,79.0,-21491.0,70
0,0.0,227.0,-463.0,70
0,1.0,72.0,-8329.0,70
0,2.0,139.0,-12848.0,70
0,10.0,145.0,-11428.0,70
0,11.0,213.0,-15304.0,70
0,12.0,79.0,-21496.0,70
0,0.0,227.0,-316.0,70
0,1.0,73.0,-8385.0,70
0,2.0,138.0,-12825.0,70
0,10.0,145.0,-11389.0,70
0,11.0,214.0,-15200.0,70
0,12.0,79.0,-21544.0,70
0,0.0,227.0,-402.0,70
0,1.0,73.0,-8335.0,70
0,2.0,138.0,-12951.0,70
0,10.0,145.0,-11580.0,70
0,11.0,212.0,-15711.0,70
0,12.0,79.0,-21874.0,70
0,0.0,228.0,-327.0,70
0,1.0,73.0,-8282.0,70
0,2.0,138.0,-12845.0,70
0,10.0,145.0,-11375.0,70
0,11.0,212.0,-15507.0,70
0,12.0,79.0,-21799.0,70
0,0.0,227.0,-163.0,70
0,1.0,72.0,-8402.0,70
0,2.0,138.0,-12600.0,70
0,10.0,146.0,-11326.0,70
0,11.0,212.0,-15585.0,70
0,12.0,79.0,-21554.0,70
0,0.0,227.0,-255.0,70
0,1.0,72.0,-8419.0,70
0,2.0,139.0,-12752.0,70
0,3.0,289.0,-13884.0,70
0,10.0,146.0,-11523.0,70
0,11.0,212.0,-15475.0,70
0,12.0,79.0,-21725.0,70
0,0.0,228.0,-191.0,70
0,1.0,73.0,-8275.0,70
0,2.0,139.0,-12699.0,70
0,10.0,145.0,-11508.0,70
0,11.0,213.0,-15133.0,70
0,12.0,79.0,-21463.0,70
0,0.0,227.0,-195.0,70
0,1.0,73.0,-8236.0,70
0,2.0,139.0,-12979.0,70
0,10.0,146.0,-11619.0,70
0,11.0,213.0,-15598.0,70
0,12.0,79.0,-21775.0,70
0,0.0,227.0,-174.0,70
0,1.0,73.0,-8368.0,70
0,2.0,138.0,-12698.0,70
0,10.0,145.0,-11476.0,70
0,11.0,213.0,-15061.0,70
0,12.0,79.0,-21601.0,70
0,0.0,228.0,-322.0,70
0,1.0,73.0,-8264.0,70
0,2.0,139.0,-12793.0,70
0,10.0,145.0,-11610.0,70
0,11.0,212.0,-15587.0,70
0,12.0,79.0,-21680.0,70
0,0.0,228.0,-245.0,70
0,1.0,73.0,-8393.0,70
0,2.0,139.0,-12672.0,70
0,10.0,145.0,-11500.0,70
0,11.0,213.0,-15621.0,70
0,12.0,79.0,-21541.0,70
0,0.0,227.0,-245.0,70
0,1.0,73.0,-8445.0,70
0,2.0,139.0,-12771.0,70
0,10.0,146.0,-11394.0,70
0,11.0,212.0,-15299.0,70
0,12.0,79.0,-21420.0,70
0,0.0,228.0,-238.0,70
0,1.0,74.0,-8316.0,70
0,2.0,138.0,-12826.0,70
0,10.0,145.0,-11519.0,70
0,11.0,213.0,-15129.0,70
0,12.0,79.0,-21538.0,70
0,0.0,228.0,-138.0,70
0,1.0,73.0,-8035.0,70
0,2.0,138.0,-13019.0,70
0,3.0,289.0,-13298.0,70
0,10.0,146.0,-11379.0,70
0,11.0,212.0,-15267.0,70
0,12.0,79.0,-21667.0,70
0,0.0,228.0,-214.0,70
0,1.0,74.0,-8333.0,70
0,2.0,139.0,-12592.0,70
0,10.0,146.0,-11360.0,70
0,11.0,212.0,-15358.0,70
0,12.0,80.0,-21423.0,70
0,0.0,227.0,-232.0,70
0,1.0,73.0,-8525.0,70
0,2.0,139.0,-12731.0,70
0,10.0,145.0,-11418.0,70
0,11.0,211.0,-15523.0,70
0,12.0,79.0,-21494.0,70
0,0.0,227.0,-308.0,70
0,1.0,73.0,-8512.0,70
0,2.0,138.0,-12750.0,70
0,10.0,145.0,-11478.0,70
0,11.0,212.0,-15053.0,70
0,12.0,79.0,-21616.0,70
0,0.0,227.0,-341.0,70
0,1.0,73.0,-8288.0,70
0,2.0,139.0,-12886.0,70
0,3.0,291.0,-14131.0,70
0,10.0,145.0,-11419.0,70
0,11.0,212.0,-15428.0,70
0,12.0,79.0,-21408.0,70
0,0.0,227.0,-270.0,70
0,1.0,72.0,-8420.0,70
0,2.0,140.0,-12570.0,70
0,10.0,146.0,-11603.0,70
0,11.0,212.0,-15677.0,70
0,12.0,79.0,-21761.0,70
0,0.0,228.0,-242.0,70
0,1.0,73.0,-8118.0,70
0,2.0,139.0,-12927.0,70
0,10.0,145.0,-11560.0,70
0,11.0,213.0,-15283.0,70
0,12.0,79.0,-21583.0,70
0,0.0,227.0,-337.0,70
0,1.0,71.0,-8605.0,70
0,2.0,139.0,-12685.0,70
0,10.0,145.0,-11482.0,70
0,11.0,212.0,-15271.0,70
0,12.0,79.0,-21689.0,70
0,0.0,227.0,-362.0,70
0,1.0,73.0,-8495.0,70
0,2.0,139.0,-12776.0,70
0,10.0,146.0,-11526.0,70
0,11.0,212.0,-15773.0,70
0,12.0,79.0,-21736.0,70
0,0.0,227.0,-250.0,70
0,1.0,73.0,-8372.0,70
0,2.0,138.0,-12657.0,70
0,10.0,146.0,-11412.0,70
0,11.0,211.0,-15363.0,70
0,12.0,79.0,-21517.0,70
0,0.0,228.0,-248.0,70
0,1.0,72.0,-8602.0,70
0,2.0,138.0,-12852.0,70
0,10.0,145.0,-11372.0,70
0,11.0,211.0,-15106.0,70
0,12.0,79.0,-21456.0,70
