trial,register,rdistance,strength,edistance
0,0.0,84.0,-5595.0,95
0,0.0,85.0,-5451.0,95
0,0.0,85.0,-5479.0,95
0,0.0,85.0,-5493.0,95
0,0.0,84.0,-5546.0,95
0,0.0,85.0,-5531.0,95
0,0.0,84.0,-5448.0,95
0,0.0,84.0,-5630.0,95
0,0.0,84.0,-5588.0,95
0,0.0,84.0,-5605.0,95
0,0.0,85.0,-5463.0,95
0,0.0,84.0,-5597.0,95
0,0.0,85.0,-5559.0,95
0,0.0,84.0,-5453.0,95
0,0.0,85.0,-5531.0,95
0,0.0,85.0,-5570.0,95
0,0.0,85.0,-5744.0,95
0,0.0,84.0,-5563.0,95
0,0.0,85.0,-5466.0,95
0,0.0,85.0,-5612.0,95
0,0.0,85.0,-5664.0,95
0,0.0,85.0,-5535.0,95
0,0.0,84.0,-5576.0,95
0,0.0,84.0,-5470.0,95
0,0.0,84.0,-5565.0,95
0,0.0,84.0,-5625.0,95
0,0.0,84.0,-5503.0,95
0,0.0,85.0,-5558.0,95
0,0.0,85.0,-5524.0,95
0,0.0,85.0,-5530.0,95
0,0.0,85.0,-5422.0,95
0,0.0,85.0,-5571.0,95
0,0.0,84.0,-5521.0,95
0,0.0,85.0,-5480.0,95
0,0.0,85.0,-5472.0,95
0,0.0,84.0,-5524.0,95
0,0.0,85.0,-5509.0,95
0,0.0,85.0,-5702.0,95
0,0.0,85.0,-5640.0,95
0,0.0,85.0,-5543.0,95
0,0.0,85.0,-5589.0,95
0,0.0,85.0,-5686.0,95
0,0.0,85.0,-5477.0,95
0,0.0,84.0,-5456.0,95
0,0.0,85.0,-5580.0,95
0,0.0,84.0,-5452.0,95
0,0.0,85.0,-5508.0,95
0,0.0,85.0,-5658.0,95
0,0.0,84.0,-5548.0,95
0,0.0,84.0,-5555.0,95
1,0.0,84.0,-4319.0,93
1,0.0,84.0,-4363.0,93
1,0.0,84.0,-4377.0,93
1,0.0,84.0,-4387.0,93
1,0.0,84.0,-4482.0,93
1,0.0,84.0,-4375.0,93
1,0.0,84.0,-4394.0,93
1,0.0,84.0,-4436.0,93
1,0.0,84.0,-4574.0,93
1,0.0,84.0,-4439.0,93
1,0.0,84.0,-4541.0,93
1,0.0,84.0,-4490.0,93
1,0.0,84.0,-4464.0,93
1,0.0,84.0,-4561.0,93
1,0.0,84.0,-4612.0,93
1,0.0,84.0,-4469.0,93
1,0.0,84.0,-4417.0,93
1,0.0,84.0,-4427.0,93
1,0.0,84.0,-4363.0,93
1,0.0,84.0,-4305.0,93
1,0.0,84.0,-4333.0,93
1,0.0,84.0,-4523.0,93
1,0.0,84.0,-4404.0,93
1,0.0,84.0,-4503.0,93
1,0.0,84.0,-4375.0,93
1,0.0,84.0,-4526.0,93
1,0.0,84.0,-4279.0,93
1,0.0,84.0,-4470.0,93
1,0.0,84.0,-4319.0,93
1,0.0,84.0,-4337.0,93
1,0.0,84.0,-4445.0,93
1,0.0,84.0,-4341.0,93
1,0.0,84.0,-4600.0,93
1,0.0,84.0,-4468.0,93
1,0.0,84.0,-4425.0,93
1,0.0,84.0,-4549.0,93
1,0.0,84.0,-4510.0,93
1,0.0,84.0,-4321.0,93
1,0.0,84.0,-4567.0,93
1,0.0,84.0,-4402.0,93
1,0.0,84.0,-4409.0,93
1,0.0,84.0,-4503.0,93
1,0.0,84.0,-4413.0,93
1,0.0,84.0,-4426.0,93
1,0.0,84.0,-4519.0,93
1,0.0,84.0,-4386.0,93
1,0.0,84.0,-4363.0,93
1,0.0,84.0,-4383.0,93
1,0.0,84.0,-4332.0,93
1,0.0,84.0,-4409.0,93
2,0.0,83.0,-3392.0,91
2,0.0,83.0,-3480.0,91
2,0.0,83.0,-3412.0,91
2,0.0,83.0,-3400.0,91
2,0.0,83.0,-3417.0,91
2,0.0,83.0,-3427.0,91
2,0.0,83.0,-3520.0,91
2,0.0,83.0,-3589.0,91
2,0.0,83.0,-3485.0,91
2,0.0,83.0,-3442.0,91
2,0.0,83.0,-3496.0,91
2,0.0,83.0,-3582.0,91
2,0.0,83.0,-3476.0,91
2,0.0,83.0,-3495.0,91
2,0.0,83.0,-3646.0,91
2,0.0,83.0,-3497.0,91
