trial,register,rdistance,strength,recalibrated,edistance
0,0.0,139.0,-1576.0,0,145
0,0.0,139.0,-1556.0,0,145
0,0.0,140.0,-1643.0,0,145
0,0.0,140.0,-1588.0,0,145
0,0.0,139.0,-1682.0,0,145
0,0.0,139.0,-1496.0,0,145
0,0.0,139.0,-1623.0,0,145
0,0.0,139.0,-1669.0,0,145
0,0.0,139.0,-1597.0,0,145
0,0.0,139.0,-1527.0,0,145
0,0.0,139.0,-1670.0,0,145
0,0.0,139.0,-1696.0,0,145
0,0.0,139.0,-1518.0,0,145
0,0.0,139.0,-1587.0,0,145
0,0.0,139.0,-1657.0,0,145
0,0.0,139.0,-1690.0,0,145
0,0.0,139.0,-1445.0,0,145
0,0.0,139.0,-1410.0,0,145
0,0.0,139.0,-1575.0,0,145
0,0.0,139.0,-1727.0,0,145
0,0.0,139.0,-1483.0,0,145
0,0.0,139.0,-1416.0,0,145
0,0.0,139.0,-1528.0,0,145
0,0.0,139.0,-1548.0,0,145
0,0.0,139.0,-1692.0,0,145
0,0.0,139.0,-1613.0,0,145
0,0.0,139.0,-1501.0,0,145
0,0.0,139.0,-1658.0,0,145
0,0.0,139.0,-1479.0,0,145
0,0.0,140.0,-1536.0,0,145
0,0.0,139.0,-1665.0,0,145
0,0.0,140.0,-1596.0,0,145
0,0.0,140.0,-1572.0,0,145
0,0.0,139.0,-1382.0,0,145
0,0.0,139.0,-1459.0,0,145
0,0.0,140.0,-1601.0,0,145
0,0.0,139.0,-1607.0,0,145
0,0.0,139.0,-1696.0,0,145
0,0.0,139.0,-1592.0,0,145
0,0.0,139.0,-1612.0,0,145
0,0.0,139.0,-1663.0,0,145
0,0.0,139.0,-1688.0,0,145
0,0.0,139.0,-1587.0,0,145
0,0.0,139.0,-1451.0,0,145
0,0.0,139.0,-1509.0,0,145
0,0.0,139.0,-1624.0,0,145
0,0.0,139.0,-1552.0,0,145
0,0.0,139.0,-1522.0,0,145
0,0.0,139.0,-1728.0,0,145
0,0.0,139.0,-1638.0,0,145
1,0.0,135.0,-1258.0,0,140
1,0.0,135.0,-1198.0,0,140
1,0.0,134.0,-1245.0,0,140
1,0.0,135.0,-1288.0,0,140
1,0.0,135.0,-1217.0,0,140
1,0.0,135.0,-1358.0,0,140
1,0.0,134.0,-1372.0,0,140
1,0.0,135.0,-1304.0,0,140
1,0.0,135.0,-1216.0,0,140
1,0.0,135.0,-1480.0,0,140
1,0.0,135.0,-1175.0,0,140
1,0.0,134.0,-1274.0,0,140
1,0.0,135.0,-1127.0,0,140
1,0.0,134.0,-1255.0,0,140
1,0.0,134.0,-1243.0,0,140
1,0.0,135.0,-1366.0,0,140
1,0.0,135.0,-1258.0,0,140
1,0.0,134.0,-1296.0,0,140
1,0.0,135.0,-1246.0,0,140
1,0.0,135.0,-1360.0,0,140
1,0.0,135.0,-1142.0,0,140
1,0.0,135.0,-1198.0,0,140
1,0.0,135.0,-1311.0,0,140
1,0.0,135.0,-1315.0,0,140
1,0.0,135.0,-1188.0,0,140
1,0.0,134.0,-1270.0,0,140
1,0.0,134.0,-1179.0,0,140
1,0.0,134.0,-1253.0,0,140
1,0.0,135.0,-1327.0,0,140
1,0.0,135.0,-1223.0,0,140
1,0.0,135.0,-1202.0,0,140
1,0.0,134.0,-1274.0,0,140
1,0.0,134.0,-1427.0,0,140
1,0.0,135.0,-1284.0,0,140
1,0.0,134.0,-1301.0,0,140
1,0.0,135.0,-1485.0,0,140
1,0.0,134.0,-1211.0,0,140
1,0.0,134.0,-1275.0,0,140
1,0.0,135.0,-1319.0,0,140
1,0.0,134.0,-1298.0,0,140
1,0.0,135.0,-1228.0,0,140
1,0.0,135.0,-1256.0,0,140
1,0.0,135.0,-1226.0,0,140
1,0.0,135.0,-1350.0,0,140
1,0.0,135.0,-1287.0,0,140
1,0.0,135.0,-1364.0,0,140
1,0.0,135.0,-1174.0,0,140
1,0.0,134.0,-1273.0,0,140
1,0.0,134.0,-1413.0,0,140
1,0.0,135.0,-1482.0,0,140
2,0.0,129.0,-2972.0,0,135
2,0.0,129.0,-2782.0,0,135
2,0.0,129.0,-2810.0,0,135
2,0.0,129.0,-2711.0,0,135
2,0.0,129.0,-2796.0,0,135
2,0.0,129.0,-2739.0,0,135
2,0.0,129.0,-2742.0,0,135
2,0.0,129.0,-2886.0,0,135
2,0.0,129.0,-2767.0,0,135
2,0.0,129.0,-2796.0,0,135
2,0.0,129.0,-2722.0,0,135
2,0.0,129.0,-2715.0,0,135
2,0.0,129.0,-2795.0,0,135
2,0.0,129.0,-2793.0,0,135
2,0.0,129.0,-2802.0,0,135
2,0.0,129.0,-2707.0,0,135
2,0.0,129.0,-2690.0,0,135
2,0.0,129.0,-2856.0,0,135
2,0.0,129.0,-2988.0,0,135
2,0.0,128.0,-2866.0,0,135
2,0.0,129.0,-2834.0,0,135
2,0.0,129.0,-2781.0,0,135
2,0.0,128.0,-2800.0,0,135
2,0.0,128.0,-2803.0,0,135
2,0.0,129.0,-2788.0,0,135
2,0.0,129.0,-2706.0,0,135
2,0.0,129.0,-2814.0,0,135
2,0.0,129.0,-2850.0,0,135
2,0.0,129.0,-3036.0,0,135
2,0.0,129.0,-2950.0,0,135
2,0.0,129.0,-2842.0,0,135
2,0.0,129.0,-2881.0,0,135
2,0.0,129.0,-2872.0,0,135
2,0.0,129.0,-2850.0,0,135
2,0.0,129.0,-2826.0,0,135
2,0.0,129.0,-2815.0,0,135
2,0.0,129.0,-2873.0,0,135
2,0.0,129.0,-2738.0,0,135
2,0.0,129.0,-2812.0,0,135
2,0.0,129.0,-2782.0,0,135
2,0.0,129.0,-2794.0,0,135
2,0.0,129.0,-2909.0,0,135
2,0.0,129.0,-2881.0,0,135
2,0.0,129.0,-2800.0,0,135
2,0.0,129.0,-2899.0,0,135
2,0.0,129.0,-2666.0,0,135
2,0.0,129.0,-2905.0,0,135
2,0.0,128.0,-2901.0,0,135
2,0.0,129.0,-2912.0,0,135
2,0.0,128.0,-2973.0,0,135
3,0.0,122.0,-5877.0,0,130
3,0.0,122.0,-5773.0,0,130
3,0.0,122.0,-5830.0,0,130
3,0.0,122.0,-5805.0,0,130
3,0.0,122.0,-5794.0,0,130
3,0.0,122.0,-5860.0,0,130
3,0.0,122.0,-5822.0,0,130
3,0.0,122.0,-6000.0,0,130
3,0.0,122.0,-5781.0,0,130
3,0.0,122.0,-5813.0,0,130
3,0.0,122.0,-5877.0,0,130
3,0.0,122.0,-5827.0,0,130
