trial,register,rdistance,strength,recalibrated,edistance
0,0.0,62.0,1217.0,0,95
0,10.0,80.0,-16949.0,0,95
0,0.0,61.0,1220.0,0,95
0,10.0,80.0,-17136.0,0,95
0,0.0,62.0,1203.0,0,95
0,10.0,80.0,-17107.0,0,95
0,0.0,61.0,1181.0,0,95
0,10.0,81.0,-17108.0,0,95
0,0.0,61.0,1217.0,0,95
0,10.0,80.0,-16967.0,0,95
0,0.0,61.0,1218.0,0,95
0,10.0,80.0,-17238.0,0,95
0,0.0,62.0,1193.0,0,95
0,10.0,81.0,-17060.0,0,95
0,0.0,61.0,1168.0,0,95
0,10.0,80.0,-17061.0,0,95
0,0.0,61.0,1181.0,0,95
0,10.0,81.0,-16945.0,0,95
0,0.0,62.0,1206.0,0,95
0,10.0,81.0,-16971.0,0,95
0,0.0,62.0,1217.0,0,95
0,10.0,80.0,-17084.0,0,95
0,0.0,61.0,1199.0,0,95
0,10.0,80.0,-17155.0,0,95
0,0.0,61.0,1232.0,0,95
0,10.0,80.0,-17137.0,0,95
0,0.0,61.0,1179.0,0,95
0,10.0,80.0,-17199.0,0,95
0,0.0,61.0,1217.0,0,95
0,10.0,81.0,-17108.0,0,95
0,0.0,62.0,1207.0,0,95
0,10.0,80.0,-17141.0,0,95
0,0.0,62.0,1195.0,0,95
0,10.0,80.0,-17143.0,0,95
0,0.0,61.0,1246.0,0,95
0,10.0,80.0,-17057.0,0,95
0,0.0,62.0,1245.0,0,95
0,10.0,80.0,-17078.0,0,95
0,0.0,61.0,1205.0,0,95
0,10.0,81.0,-17222.0,0,95
0,0.0,61.0,1195.0,0,95
0,10.0,80.0,-17114.0,0,95
0,0.0,61.0,1176.0,0,95
0,10.0,80.0,-17068.0,0,95
0,0.0,61.0,1197.0,0,95
0,10.0,80.0,-17133.0,0,95
0,0.0,61.0,1185.0,0,95
0,10.0,81.0,-17094.0,0,95
0,0.0,61.0,1192.0,0,95
0,10.0,80.0,-16959.0,0,95
1,0.0,57.0,1260.0,0,93
1,10.0,78.0,-12657.0,0,93
1,0.0,57.0,1269.0,0,93
1,10.0,78.0,-12631.0,0,93
1,0.0,57.0,1265.0,0,93
1,10.0,78.0,-12755.0,0,93
1,0.0,57.0,1228.0,0,93
1,10.0,78.0,-12675.0,0,93
1,0.0,57.0,1256.0,0,93
1,10.0,78.0,-12649.0,0,93
1,0.0,57.0,1231.0,0,93
1,10.0,78.0,-12632.0,0,93
1,0.0,57.0,1273.0,0,93
1,10.0,78.0,-12622.0,0,93
1,0.0,57.0,1203.0,0,93
1,10.0,78.0,-12664.0,0,93
1,0.0,57.0,1264.0,0,93
1,10.0,78.0,-12808.0,0,93
1,0.0,57.0,1225.0,0,93
1,10.0,78.0,-12739.0,0,93
1,0.0,57.0,1280.0,0,93
1,10.0,78.0,-12685.0,0,93
1,0.0,57.0,1262.0,0,93
1,10.0,78.0,-12704.0,0,93
1,0.0,57.0,1256.0,0,93
1,10.0,78.0,-12668.0,0,93
1,0.0,57.0,1296.0,0,93
1,10.0,78.0,-12712.0,0,93
1,0.0,57.0,1220.0,0,93
1,10.0,78.0,-12738.0,0,93
1,0.0,57.0,1265.0,0,93
1,10.0,78.0,-12721.0,0,93
1,0.0,57.0,1263.0,0,93
1,10.0,78.0,-12602.0,0,93
1,0.0,57.0,1239.0,0,93
1,10.0,78.0,-12748.0,0,93
1,0.0,57.0,1267.0,0,93
1,10.0,78.0,-12737.0,0,93
1,0.0,57.0,1272.0,0,93
1,10.0,78.0,-12668.0,0,93
1,0.0,57.0,1241.0,0,93
1,10.0,78.0,-12689.0,0,93
1,0.0,57.0,1233.0,0,93
1,10.0,78.0,-12713.0,0,93
1,0.0,57.0,1294.0,0,93
1,10.0,78.0,-12672.0,0,93
1,0.0,57.0,1265.0,0,93
1,10.0,78.0,-12695.0,0,93
1,0.0,57.0,1263.0,0,93
1,10.0,78.0,-12666.0,0,93
2,0.0,53.0,604.0,0,91
2,10.0,82.0,-14015.0,0,91
2,0.0,53.0,637.0,0,91
2,10.0,82.0,-13960.0,0,91
2,0.0,53.0,634.0,0,91
2,10.0,82.0,-14088.0,0,91
2,0.0,53.0,580.0,0,91
2,10.0,82.0,-14044.0,0,91
2,0.0,53.0,631.0,0,91
2,10.0,82.0,-14167.0,0,91
2,0.0,53.0,648.0,0,91
2,10.0,82.0,-14040.0,0,91
2,0.0,53.0,605.0,0,91
2,10.0,82.0,-14080.0,0,91
2,0.0,53.0,602.0,0,91
2,10.0,82.0,-14055.0,0,91
2,0.0,53.0,577.0,0,91
2,10.0,81.0,-14114.0,0,91
2,0.0,53.0,603.0,0,91
2,10.0,82.0,-14079.0,0,91
2,0.0,53.0,617.0,0,91
2,10.0,82.0,-14062.0,0,91
2,0.0,53.0,651.0,0,91
2,10.0,82.0,-14120.0,0,91
2,0.0,53.0,566.0,0,91
2,10.0,82.0,-14122.0,0,91
2,0.0,53.0,501.0,0,91
2,10.0,82.0,-14137.0,0,91
2,0.0,53.0,483.0,0,91
2,10.0,81.0,-14174.0,0,91
2,0.0,53.0,554.0,0,91
2,10.0,81.0,-14224.0,0,91
2,0.0,53.0,570.0,0,91
2,10.0,82.0,-14159.0,0,91
2,0.0,53.0,492.0,0,91
2,10.0,81.0,-14202.0,0,91
2,0.0,53.0,451.0,0,91
2,10.0,81.0,-14214.0,0,91
2,0.0,53.0,552.0,0,91
2,10.0,81.0,-14166.0,0,91
2,0.0,53.0,515.0,0,91
2,10.0,82.0,-14134.0,0,91
2,0.0,53.0,566.0,0,91
2,10.0,82.0,-14095.0,0,91
2,0.0,53.0,515.0,0,91
2,10.0,82.0,-14131.0,0,91
2,0.0,53.0,530.0,0,91
2,10.0,81.0,-14246.0,0,91
2,0.0,53.0,488.0,0,91
2,10.0,81.0,-14221.0,0,91
3,0.0,48.0,-511.0,0,89
3,10.0,89.0,-14340.0,0,89
3,0.0,48.0,-406.0,0,89
3,10.0,89.0,-14348.0,0,89
3,0.0,48.0,-495.0,0,89
3,10.0,89.0,-14367.0,0,89
3,0.0,48.0,-422.0,0,89
3,10.0,89.0,-14228.0,0,89
3,0.0,48.0,-458.0,0,89
3,10.0,89.0,-14518.0,0,89
3,0.0,48.0,-450.0,0,89
3,10.0,89.0,-14330.0,0,89
3,0.0,48.0,-459.0,0,89
3,10.0,89.0,-14312.0,0,89
3,0.0,48.0,-391.0,0,89
3,10.0,89.0,-14355.0,0,89
3,0.0,48.0,-451.0,0,89
3,10.0,89.0,-14285.0,0,89
3,0.0,48.0,-452.0,0,89
3,10.0,89.0,-14328.0,0,89
3,0.0,48.0,-431.0,0,89
3,10.0,89.0,-14183.0,0,89
3,0.0,48.0,-462.0,0,89
3,10.0,89.0,-14290.0,0,89
3,0.0,48.0,-442.0,0,89
3,10.0,89.0,-14463.0,0,89
3,0.0,48.0,-484.0,0,89
3,10.0,89.0,-14380.0,0,89
3,0.0,48.0,-438.0,0,89
3,10.0,89.0,-14401.0,0,89
3,0.0,48.0,-481.0,0,89
3,10.0,89.0,-14367.0,0,89
3,0.0,48.0,-454.0,0,89
3,10.0,89.0,-14386.0,0,89
3,0.0,48.0,-425.0,0,89
3,10.0,89.0,-14414.0,0,89
3,0.0,48.0,-458.0,0,89
3,10.0,89.0,-14293.0,0,89
3,0.0,48.0,-467.0,0,89
3,10.0,89.0,-14378.0,0,89
3,0.0,48.0,-499.0,0,89
3,10.0,89.0,-14354.0,0,89
3,0.0,48.0,-406.0,0,89
3,10.0,89.0,-14378.0,0,89
3,0.0,48.0,-409.0,0,89
3,10.0,89.0,-14288.0,0,89
3,0.0,48.0,-485.0,0,89
3,10.0,89.0,-14430.0,0,89
3,0.0,48.0,-444.0,0,89
3,10.0,89.0,-14348.0,0,89
4,0.0,43.0,-1141.0,0,87
4,10.0,94.0,-14973.0,0,87
4,0.0,42.0,-1243.0,0,87
4,10.0,94.0,-14835.0,0,87
4,0.0,43.0,-1270.0,0,87
4,10.0,94.0,-14876.0,0,87
4,0.0,42.0,-1316.0,0,87
4,10.0,93.0,-14917.0,0,87
4,0.0,43.0,-1313.0,0,87
4,10.0,94.0,-14958.0,0,87
4,0.0,43.0,-1360.0,0,87
4,10.0,94.0,-14944.0,0,87
4,0.0,42.0,-1283.0,0,87
4,10.0,93.0,-14892.0,0,87
4,0.0,42.0,-1246.0,0,87
4,10.0,94.0,-14790.0,0,87
4,0.0,43.0,-1193.0,0,87
4,10.0,94.0,-14920.0,0,87
4,0.0,43.0,-1267.0,0,87
4,10.0,94.0,-14952.0,0,87
4,0.0,43.0,-1241.0,0,87
4,10.0,94.0,-14885.0,0,87
4,0.0,42.0,-1250.0,0,87
4,10.0,94.0,-14853.0,0,87
4,0.0,42.0,-1264.0,0,87
4,10.0,94.0,-14911.0,0,87
4,0.0,43.0,-1230.0,0,87
4,10.0,94.0,-14956.0,0,87
4,0.0,43.0,-1274.0,0,87
4,10.0,94.0,-14916.0,0,87
4,0.0,43.0,-1258.0,0,87
4,10.0,93.0,-14978.0,0,87
4,0.0,43.0,-1268.0,0,87
4,10.0,94.0,-14829.0,0,87
4,0.0,43.0,-1245.0,0,87
4,10.0,94.0,-14874.0,0,87
4,0.0,43.0,-1306.0,0,87
4,10.0,94.0,-14782.0,0,87
4,0.0,42.0,-1343.0,0,87
4,10.0,94.0,-14939.0,0,87
4,0.0,43.0,-1310.0,0,87
4,10.0,94.0,-14997.0,0,87
4,0.0,43.0,-1295.0,0,87
4,10.0,94.0,-14917.0,0,87
4,0.0,42.0,-1268.0,0,87
4,10.0,94.0,-14933.0,0,87
4,0.0,42.0,-1286.0,0,87
4,10.0,94.0,-15011.0,0,87
4,0.0,42.0,-1328.0,0,87
4,10.0,94.0,-14941.0,0,87
5,0.0,37.0,-1910.0,0,85
5,1.0,95.0,-20903.0,0,85
5,10.0,98.0,-14844.0,0,85
5,0.0,37.0,-2015.0,0,85
5,1.0,95.0,-21377.0,0,85
5,10.0,98.0,-14966.0,0,85
5,0.0,38.0,-1981.0,0,85
5,1.0,95.0,-21427.0,0,85
5,10.0,98.0,-14728.0,0,85
5,0.0,39.0,-2024.0,0,85
5,1.0,95.0,-21513.0,0,85
5,10.0,98.0,-14894.0,0,85
5,0.0,38.0,-1995.0,0,85
5,1.0,95.0,-21398.0,0,85
5,10.0,98.0,-14913.0,0,85
5,0.0,38.0,-2001.0,0,85
5,1.0,95.0,-20972.0,0,85
5,10.0,98.0,-14834.0,0,85
5,0.0,37.0,-2032.0,0,85
5,1.0,95.0,-21359.0,0,85
5,10.0,98.0,-14906.0,0,85
5,0.0,38.0,-2029.0,0,85
5,1.0,95.0,-21389.0,0,85
5,10.0,98.0,-14904.0,0,85
5,0.0,38.0,-1975.0,0,85
5,1.0,95.0,-21083.0,0,85
5,10.0,98.0,-14825.0,0,85
5,0.0,38.0,-1973.0,0,85
5,1.0,95.0,-21407.0,0,85
5,10.0,98.0,-14775.0,0,85
5,0.0,37.0,-2027.0,0,85
5,1.0,95.0,-20874.0,0,85
5,10.0,99.0,-14961.0,0,85
5,0.0,38.0,-1943.0,0,85
5,1.0,95.0,-21394.0,0,85
5,10.0,98.0,-14842.0,0,85
5,0.0,37.0,-1930.0,0,85
5,1.0,95.0,-21214.0,0,85
5,10.0,98.0,-14736.0,0,85
5,0.0,38.0,-2022.0,0,85
5,1.0,95.0,-21409.0,0,85
5,10.0,98.0,-14875.0,0,85
5,0.0,36.0,-2152.0,0,85
5,1.0,95.0,-21349.0,0,85
5,10.0,99.0,-14973.0,0,85
5,0.0,37.0,-1934.0,0,85
5,1.0,95.0,-20951.0,0,85
5,10.0,98.0,-14878.0,0,85
5,0.0,38.0,-2061.0,0,85
5,1.0,95.0,-21157.0,0,85
6,0.0,34.0,-2115.0,0,83
6,10.0,105.0,-15011.0,0,83
6,0.0,34.0,-2054.0,0,83
6,10.0,105.0,-14980.0,0,83
6,0.0,34.0,-2090.0,0,83
6,10.0,105.0,-15116.0,0,83
6,0.0,34.0,-2030.0,0,83
6,10.0,105.0,-15057.0,0,83
6,0.0,34.0,-2040.0,0,83
6,10.0,105.0,-15057.0,0,83
6,0.0,34.0,-2155.0,0,83
6,10.0,105.0,-14966.0,0,83
6,0.0,34.0,-2185.0,0,83
6,10.0,105.0,-15117.0,0,83
6,0.0,34.0,-2096.0,0,83
6,10.0,105.0,-14990.0,0,83
6,0.0,34.0,-2152.0,0,83
6,10.0,105.0,-14983.0,0,83
6,0.0,34.0,-2099.0,0,83
6,10.0,105.0,-15231.0,0,83
6,0.0,33.0,-2372.0,0,83
6,10.0,105.0,-15287.0,0,83
6,0.0,33.0,-2411.0,0,83
6,10.0,105.0,-15325.0,0,83
6,0.0,33.0,-2479.0,0,83
6,10.0,105.0,-15282.0,0,83
6,0.0,33.0,-2441.0,0,83
6,10.0,105.0,-15193.0,0,83
6,0.0,33.0,-2428.0,0,83
6,10.0,105.0,-15108.0,0,83
6,0.0,34.0,-2450.0,0,83
6,10.0,106.0,-15136.0,0,83
6,0.0,33.0,-2404.0,0,83
6,10.0,105.0,-15331.0,0,83
6,0.0,33.0,-2414.0,0,83
6,10.0,105.0,-15018.0,0,83
6,0.0,33.0,-2470.0,0,83
6,10.0,105.0,-15211.0,0,83
6,0.0,33.0,-2480.0,0,83
6,10.0,105.0,-15332.0,0,83
6,0.0,33.0,-2423.0,0,83
6,10.0,105.0,-15270.0,0,83
6,0.0,33.0,-2362.0,0,83
6,10.0,105.0,-15141.0,0,83
6,0.0,33.0,-2440.0,0,83
6,10.0,105.0,-15057.0,0,83
6,0.0,34.0,-2444.0,0,83
6,10.0,105.0,-15244.0,0,83
6,0.0,33.0,-2431.0,0,83
6,10.0,105.0,-15244.0,0,83
