trial,register,rdistance,strength,recalibrated,edistance
0,0.0,79.0,-11728.0,0,95
0,10.0,71.0,-11943.0,0,95
0,0.0,78.0,-11667.0,0,95
0,10.0,71.0,-11845.0,0,95
0,0.0,78.0,-11611.0,0,95
0,10.0,71.0,-12065.0,0,95
0,0.0,79.0,-11700.0,0,95
0,10.0,71.0,-11993.0,0,95
0,0.0,79.0,-11647.0,0,95
0,10.0,71.0,-11890.0,0,95
0,0.0,79.0,-11560.0,0,95
0,10.0,72.0,-12027.0,0,95
0,0.0,79.0,-11714.0,0,95
0,10.0,71.0,-12035.0,0,95
0,0.0,79.0,-11840.0,0,95
0,10.0,71.0,-11987.0,0,95
0,0.0,79.0,-11761.0,0,95
0,10.0,72.0,-12102.0,0,95
0,0.0,79.0,-11718.0,0,95
0,10.0,71.0,-11961.0,0,95
0,0.0,79.0,-11727.0,0,95
0,10.0,72.0,-12051.0,0,95
0,0.0,78.0,-11717.0,0,95
0,10.0,71.0,-12014.0,0,95
0,0.0,79.0,-11794.0,0,95
0,10.0,71.0,-12108.0,0,95
0,0.0,79.0,-11635.0,0,95
0,10.0,71.0,-12143.0,0,95
0,0.0,78.0,-11755.0,0,95
0,10.0,71.0,-11924.0,0,95
0,0.0,78.0,-11876.0,0,95
0,10.0,71.0,-11882.0,0,95
0,0.0,79.0,-11774.0,0,95
0,10.0,71.0,-11950.0,0,95
0,0.0,78.0,-11761.0,0,95
0,10.0,72.0,-12099.0,0,95
0,0.0,78.0,-11678.0,0,95
0,10.0,72.0,-11983.0,0,95
0,0.0,78.0,-11755.0,0,95
0,10.0,70.0,-12094.0,0,95
0,0.0,79.0,-11701.0,0,95
0,10.0,71.0,-11963.0,0,95
0,0.0,79.0,-11750.0,0,95
0,10.0,72.0,-12039.0,0,95
0,0.0,78.0,-11809.0,0,95
0,10.0,71.0,-12075.0,0,95
0,0.0,79.0,-11620.0,0,95
0,10.0,72.0,-11966.0,0,95
0,0.0,79.0,-11763.0,0,95
