trial,register,rdistance,strength,edistance
0,10.0,62.0,-18040.0,120
0,10.0,58.0,-20836.0,120
0,10.0,57.0,-21193.0,120
0,10.0,59.0,-19847.0,120
0,10.0,59.0,-19174.0,120
0,10.0,61.0,-19110.0,120
0,10.0,60.0,-18746.0,120
0,10.0,61.0,-19148.0,120
0,10.0,60.0,-19003.0,120
0,10.0,60.0,-19283.0,120
0,10.0,60.0,-19329.0,120
0,10.0,61.0,-19041.0,120
0,10.0,59.0,-19735.0,120
0,10.0,59.0,-19854.0,120
0,10.0,59.0,-19185.0,120
0,10.0,63.0,-18446.0,120
0,10.0,62.0,-17769.0,120
0,10.0,63.0,-17253.0,120
0,10.0,63.0,-17636.0,120
0,10.0,63.0,-17861.0,120
0,10.0,63.0,-17636.0,120
0,10.0,61.0,-18130.0,120
0,10.0,62.0,-17604.0,120
1,10.0,65.0,-18053.0,110
1,10.0,64.0,-18256.0,110
1,10.0,65.0,-18487.0,110
1,10.0,65.0,-18125.0,110
1,10.0,66.0,-18317.0,110
1,10.0,65.0,-17956.0,110
1,10.0,66.0,-18017.0,110
1,10.0,66.0,-18215.0,110
1,10.0,65.0,-17963.0,110
1,10.0,66.0,-18114.0,110
1,10.0,66.0,-18105.0,110
1,10.0,66.0,-17999.0,110
1,10.0,66.0,-18090.0,110
1,10.0,65.0,-18059.0,110
1,10.0,66.0,-17985.0,110
1,10.0,64.0,-18486.0,110
1,10.0,60.0,-19557.0,110
1,10.0,59.0,-21192.0,110
0,10.0,60.0,-13004.0,120
0,10.0,56.0,-15245.0,120
0,10.0,57.0,-15700.0,120
0,10.0,57.0,-15538.0,120
0,10.0,57.0,-15693.0,120
0,10.0,59.0,-13274.0,120
0,10.0,55.0,-16128.0,120
0,10.0,56.0,-16481.0,120
0,10.0,57.0,-13608.0,120
0,10.0,58.0,-16100.0,120
0,10.0,56.0,-17188.0,120
0,10.0,58.0,-17129.0,120
0,10.0,62.0,-18408.0,120
0,10.0,69.0,-19072.0,120
0,10.0,74.0,-16955.0,120
0,10.0,69.0,-19242.0,120
0,10.0,67.0,-20358.0,120
0,10.0,60.0,-18646.0,120
0,10.0,58.0,-20492.0,120
0,10.0,61.0,-20825.0,120
0,10.0,63.0,-19835.0,120
0,10.0,63.0,-18451.0,120
0,10.0,63.0,-20944.0,120
0,10.0,61.0,-18497.0,120
0,10.0,60.0,-20059.0,120
0,10.0,60.0,-20445.0,120
0,10.0,60.0,-20137.0,120
0,10.0,60.0,-20461.0,120
0,10.0,61.0,-20065.0,120
0,10.0,61.0,-19654.0,120
0,10.0,60.0,-19744.0,120
0,10.0,60.0,-19065.0,120
0,10.0,60.0,-19276.0,120
0,10.0,61.0,-19938.0,120
0,10.0,59.0,-19790.0,120
0,10.0,60.0,-19677.0,120
0,10.0,60.0,-19845.0,120
0,10.0,61.0,-19769.0,120
0,10.0,61.0,-20146.0,120
0,10.0,59.0,-20483.0,120
0,10.0,59.0,-20533.0,120
0,10.0,60.0,-20447.0,120
0,10.0,61.0,-20381.0,120
0,10.0,59.0,-20440.0,120
0,10.0,60.0,-20261.0,120
0,10.0,60.0,-20063.0,120
0,10.0,61.0,-19895.0,120
0,10.0,59.0,-19970.0,120
0,10.0,59.0,-19875.0,120
0,10.0,58.0,-19599.0,120
0,10.0,60.0,-19981.0,120
0,10.0,59.0,-19825.0,120
0,10.0,60.0,-19877.0,120
0,10.0,60.0,-19776.0,120
0,10.0,60.0,-20363.0,120
0,10.0,58.0,-19766.0,120
0,10.0,59.0,-20082.0,120
0,10.0,58.0,-19925.0,120
0,10.0,60.0,-19952.0,120
1,10.0,57.0,-19918.0,110
1,10.0,58.0,-20228.0,110
1,10.0,58.0,-20477.0,110
1,10.0,58.0,-20616.0,110
1,10.0,58.0,-19720.0,110
1,10.0,59.0,-18576.0,110
1,10.0,60.0,-18611.0,110
1,10.0,60.0,-18640.0,110
1,10.0,60.0,-18757.0,110
1,10.0,60.0,-18764.0,110
1,10.0,59.0,-19227.0,110
1,10.0,58.0,-19105.0,110
1,10.0,58.0,-19419.0,110
1,10.0,58.0,-19637.0,110
1,10.0,58.0,-19580.0,110
1,10.0,58.0,-19510.0,110
1,10.0,58.0,-19523.0,110
1,10.0,59.0,-19638.0,110
1,10.0,58.0,-19548.0,110
1,10.0,58.0,-19303.0,110
1,10.0,58.0,-19416.0,110
1,10.0,58.0,-19506.0,110
1,10.0,57.0,-19263.0,110
1,10.0,59.0,-19436.0,110
1,10.0,58.0,-19150.0,110
1,10.0,59.0,-19846.0,110
1,10.0,58.0,-19360.0,110
1,10.0,57.0,-19398.0,110
1,10.0,58.0,-19675.0,110
1,10.0,59.0,-19250.0,110
1,10.0,58.0,-19337.0,110
1,10.0,59.0,-19107.0,110
1,10.0,58.0,-19819.0,110
1,10.0,58.0,-19929.0,110
1,10.0,60.0,-19081.0,110
1,10.0,60.0,-19073.0,110
1,10.0,60.0,-18701.0,110
1,10.0,58.0,-19703.0,110
1,10.0,61.0,-18808.0,110
1,10.0,60.0,-18210.0,110
1,10.0,59.0,-19874.0,110
1,10.0,58.0,-18309.0,110
1,10.0,58.0,-18297.0,110
1,10.0,57.0,-18230.0,110
1,10.0,65.0,-16214.0,110
1,10.0,61.0,-19929.0,110
1,10.0,57.0,-21104.0,110
