trial,register,rdistance,strength,edistance
0,10.0,233.0,-12535.0,80
0,10.0,234.0,-13317.0,80
0,10.0,236.0,-12594.0,80
0,10.0,234.0,-12840.0,80
0,10.0,234.0,-13474.0,80
0,10.0,236.0,-12674.0,80
0,10.0,234.0,-12854.0,80
0,10.0,235.0,-13005.0,80
0,10.0,235.0,-13113.0,80
0,10.0,234.0,-12804.0,80
0,10.0,235.0,-12874.0,80
0,10.0,236.0,-12392.0,80
0,10.0,234.0,-12568.0,80
0,11.0,82.0,-16159.0,80
0,10.0,235.0,-17407.0,80
0,11.0,76.0,-26111.0,80
0,10.0,233.0,-12720.0,80
0,10.0,234.0,-14249.0,80
0,11.0,83.0,-19489.0,80
0,10.0,232.0,-14861.0,80
0,11.0,81.0,-20970.0,80
0,10.0,235.0,-17841.0,80
0,10.0,234.0,-14965.0,80
0,11.0,84.0,-21622.0,80
0,10.0,233.0,-12854.0,80
0,10.0,234.0,-12840.0,80
0,10.0,234.0,-13149.0,80
0,10.0,234.0,-13356.0,80
0,10.0,234.0,-13175.0,80
0,10.0,234.0,-12805.0,80
0,10.0,235.0,-12997.0,80
0,10.0,235.0,-12925.0,80
0,10.0,235.0,-12727.0,80
0,10.0,234.0,-13142.0,80
0,10.0,234.0,-13432.0,80
0,10.0,236.0,-13184.0,80
0,10.0,234.0,-13003.0,80
0,10.0,233.0,-12727.0,80
0,10.0,235.0,-13167.0,80
0,10.0,234.0,-12712.0,80
0,10.0,235.0,-12510.0,80
0,10.0,234.0,-13260.0,80
0,10.0,234.0,-13542.0,80
0,10.0,235.0,-13072.0,80
0,10.0,234.0,-12750.0,80
0,10.0,235.0,-13051.0,80
0,10.0,236.0,-12740.0,80
0,10.0,235.0,-13642.0,80
0,10.0,234.0,-12944.0,80
0,10.0,236.0,-17198.0,80
0,11.0,83.0,-26577.0,80
0,10.0,232.0,-14531.0,80
0,11.0,81.0,-19314.0,80
0,10.0,235.0,-17591.0,80
0,11.0,78.0,-26946.0,80
0,10.0,235.0,-12663.0,80
0,10.0,233.0,-16229.0,80
0,11.0,80.0,-23744.0,80
0,10.0,232.0,-15075.0,80
0,11.0,83.0,-20816.0,80
0,10.0,232.0,-16260.0,80
0,11.0,80.0,-24494.0,80
0,10.0,234.0,-12784.0,80
0,10.0,233.0,-17630.0,80
0,11.0,81.0,-25656.0,80
0,10.0,233.0,-16889.0,80
0,11.0,81.0,-24598.0,80
0,10.0,235.0,-13198.0,80
0,10.0,234.0,-13026.0,80
0,10.0,233.0,-15704.0,80
0,11.0,80.0,-22307.0,80
