trial,register,rdistance,strength,edistance
0,0.0,56.0,-9639.0,60
0,1.0,230.0,-12188.0,60
0,0.0,57.0,-9665.0,60
0,1.0,228.0,-12168.0,60
0,0.0,57.0,-9559.0,60
0,1.0,230.0,-12044.0,60
0,0.0,57.0,-9450.0,60
0,1.0,229.0,-12054.0,60
0,0.0,57.0,-9502.0,60
0,1.0,230.0,-12203.0,60
0,0.0,56.0,-9514.0,60
0,1.0,230.0,-12035.0,60
0,0.0,57.0,-9547.0,60
0,1.0,229.0,-11969.0,60
0,0.0,56.0,-9555.0,60
0,1.0,229.0,-12169.0,60
0,0.0,56.0,-9618.0,60
0,1.0,229.0,-12088.0,60
0,0.0,56.0,-9616.0,60
0,1.0,229.0,-12222.0,60
0,0.0,56.0,-9583.0,60
0,1.0,229.0,-12011.0,60
0,0.0,56.0,-9768.0,60
0,1.0,229.0,-11978.0,60
0,0.0,56.0,-9565.0,60
0,1.0,229.0,-12076.0,60
0,0.0,56.0,-9604.0,60
0,1.0,229.0,-12119.0,60
0,0.0,56.0,-9610.0,60
0,1.0,229.0,-12208.0,60
0,0.0,56.0,-9812.0,60
0,1.0,230.0,-12114.0,60
0,0.0,56.0,-9743.0,60
0,1.0,230.0,-12220.0,60
0,0.0,57.0,-9464.0,60
0,1.0,229.0,-12161.0,60
0,0.0,56.0,-9602.0,60
0,1.0,230.0,-12235.0,60
0,0.0,56.0,-9545.0,60
0,1.0,229.0,-12174.0,60
0,0.0,56.0,-9785.0,60
0,1.0,229.0,-12104.0,60
0,0.0,56.0,-9601.0,60
0,1.0,230.0,-12163.0,60
0,0.0,57.0,-9494.0,60
0,1.0,229.0,-12157.0,60
0,0.0,56.0,-9664.0,60
0,1.0,229.0,-12121.0,60
0,0.0,56.0,-9527.0,60
0,1.0,229.0,-12122.0,60
0,0.0,56.0,-9768.0,60
0,1.0,229.0,-12160.0,60
0,0.0,57.0,-9514.0,60
0,1.0,229.0,-12206.0,60
0,0.0,56.0,-9520.0,60
0,1.0,230.0,-12082.0,60
0,0.0,56.0,-9680.0,60
0,1.0,229.0,-12192.0,60
0,0.0,56.0,-9622.0,60
0,1.0,230.0,-12181.0,60
0,0.0,56.0,-9719.0,60
0,1.0,230.0,-11949.0,60
0,0.0,56.0,-9555.0,60
0,1.0,229.0,-12042.0,60
0,0.0,56.0,-9618.0,60
0,1.0,229.0,-12116.0,60
0,0.0,56.0,-9537.0,60
0,1.0,229.0,-12279.0,60
0,0.0,56.0,-9762.0,60
0,1.0,229.0,-11916.0,60
0,0.0,57.0,-9589.0,60
0,1.0,229.0,-12117.0,60
0,0.0,56.0,-9698.0,60
0,1.0,229.0,-12072.0,60
0,0.0,56.0,-9791.0,60
0,1.0,230.0,-12138.0,60
0,0.0,56.0,-9817.0,60
