trial,register,rdistance,strength,edistance
0,0.0,157.0,-3037.0,70
0,10.0,71.0,-16310.0,70
0,11.0,200.0,-17310.0,70
0,0.0,157.0,-3032.0,70
0,10.0,71.0,-16372.0,70
0,11.0,199.0,-17251.0,70
0,0.0,157.0,-3043.0,70
0,10.0,71.0,-16433.0,70
0,11.0,199.0,-17116.0,70
0,0.0,157.0,-3085.0,70
0,10.0,71.0,-16333.0,70
0,11.0,199.0,-17309.0,70
0,0.0,157.0,-3233.0,70
0,10.0,70.0,-16426.0,70
0,11.0,198.0,-17539.0,70
0,0.0,157.0,-3106.0,70
0,10.0,70.0,-16451.0,70
0,11.0,199.0,-17126.0,70
0,0.0,157.0,-3008.0,70
0,10.0,71.0,-16530.0,70
0,11.0,198.0,-17487.0,70
0,0.0,157.0,-3070.0,70
0,10.0,71.0,-16410.0,70
0,11.0,199.0,-17170.0,70
0,0.0,157.0,-3040.0,70
0,10.0,71.0,-16485.0,70
0,11.0,199.0,-17190.0,70
0,0.0,157.0,-3123.0,70
0,10.0,71.0,-16368.0,70
0,11.0,199.0,-17129.0,70
0,0.0,157.0,-3162.0,70
0,10.0,71.0,-16435.0,70
0,11.0,198.0,-17335.0,70
0,0.0,157.0,-3082.0,70
0,10.0,71.0,-16328.0,70
0,11.0,191.0,-19030.0,70
0,0.0,157.0,-2900.0,70
0,10.0,71.0,-16281.0,70
0,11.0,199.0,-17076.0,70
0,0.0,157.0,-3089.0,70
0,10.0,71.0,-16398.0,70
0,11.0,191.0,-18824.0,70
0,0.0,157.0,-3087.0,70
0,10.0,71.0,-16359.0,70
0,11.0,199.0,-16981.0,70
0,0.0,157.0,-3113.0,70
0,10.0,71.0,-16285.0,70
0,11.0,199.0,-16925.0,70
0,0.0,157.0,-3120.0,70
0,10.0,70.0,-16618.0,70
0,11.0,199.0,-17441.0,70
0,0.0,157.0,-3198.0,70
0,10.0,71.0,-16296.0,70
0,11.0,199.0,-17046.0,70
0,0.0,157.0,-3035.0,70
0,10.0,71.0,-16170.0,70
0,11.0,199.0,-16840.0,70
0,0.0,157.0,-3007.0,70
0,10.0,71.0,-16475.0,70
0,11.0,199.0,-17326.0,70
0,0.0,157.0,-3155.0,70
0,10.0,71.0,-16291.0,70
0,11.0,199.0,-17091.0,70
0,0.0,157.0,-3232.0,70
0,10.0,70.0,-16429.0,70
0,11.0,199.0,-17231.0,70
0,0.0,157.0,-2913.0,70
0,10.0,70.0,-16473.0,70
0,11.0,199.0,-17159.0,70
0,0.0,157.0,-2886.0,70
0,10.0,70.0,-16336.0,70
0,11.0,199.0,-17165.0,70
0,0.0,157.0,-2993.0,70
0,10.0,70.0,-16428.0,70
0,11.0,199.0,-17077.0,70
0,0.0,157.0,-2932.0,70
0,10.0,70.0,-16361.0,70
0,11.0,200.0,-16926.0,70
0,0.0,157.0,-3034.0,70
0,10.0,70.0,-16338.0,70
0,11.0,190.0,-18856.0,70
0,0.0,157.0,-3075.0,70
0,10.0,71.0,-16438.0,70
0,11.0,199.0,-16936.0,70
0,0.0,157.0,-3379.0,70
0,10.0,70.0,-16468.0,70
0,11.0,199.0,-17378.0,70
0,0.0,157.0,-3114.0,70
0,10.0,71.0,-16372.0,70
0,11.0,199.0,-16825.0,70
0,0.0,157.0,-3178.0,70
0,10.0,71.0,-16310.0,70
0,11.0,191.0,-19031.0,70
0,0.0,157.0,-3095.0,70
0,10.0,70.0,-16424.0,70
0,11.0,199.0,-16969.0,70
0,0.0,157.0,-3100.0,70
0,10.0,70.0,-16316.0,70
0,11.0,199.0,-17181.0,70
0,0.0,157.0,-2984.0,70
0,10.0,70.0,-16383.0,70
0,11.0,199.0,-17158.0,70
0,0.0,157.0,-3180.0,70
0,10.0,71.0,-16397.0,70
0,11.0,198.0,-17006.0,70
0,0.0,157.0,-3016.0,70
0,10.0,71.0,-16436.0,70
0,11.0,199.0,-17096.0,70
0,0.0,157.0,-3064.0,70
0,10.0,71.0,-16495.0,70
0,11.0,199.0,-17125.0,70
0,0.0,157.0,-3014.0,70
0,10.0,70.0,-16291.0,70
0,11.0,199.0,-17024.0,70
0,0.0,157.0,-3135.0,70
0,10.0,71.0,-16467.0,70
0,11.0,198.0,-17105.0,70
0,0.0,157.0,-3175.0,70
0,10.0,70.0,-16309.0,70
