trial,register,rdistance,strength,edistance
0,0.0,76.0,-7305.0,70
0,10.0,67.0,-17310.0,70
0,0.0,74.0,-13608.0,70
0,10.0,61.0,-13234.0,70
0,11.0,130.0,-23798.0,70
0,0.0,69.0,-10070.0,70
0,10.0,60.0,-12182.0,70
0,0.0,74.0,-8307.0,70
0,10.0,57.0,-11770.0,70
0,0.0,75.0,-6329.0,70
0,10.0,57.0,-11951.0,70
0,0.0,74.0,-9264.0,70
0,10.0,58.0,-12024.0,70
0,0.0,75.0,-8511.0,70
0,10.0,58.0,-11942.0,70
0,0.0,74.0,-8688.0,70
0,10.0,57.0,-12123.0,70
0,0.0,74.0,-8786.0,70
0,10.0,58.0,-12019.0,70
0,0.0,75.0,-8531.0,70
0,10.0,57.0,-11958.0,70
0,0.0,75.0,-8655.0,70
0,10.0,57.0,-12050.0,70
0,0.0,75.0,-8829.0,70
0,10.0,58.0,-12034.0,70
0,0.0,74.0,-8687.0,70
0,10.0,58.0,-11968.0,70
0,0.0,75.0,-8660.0,70
0,10.0,58.0,-11858.0,70
0,0.0,75.0,-8653.0,70
0,10.0,57.0,-11897.0,70
0,0.0,75.0,-8595.0,70
0,10.0,58.0,-11862.0,70
0,0.0,74.0,-8679.0,70
0,10.0,57.0,-11810.0,70
0,0.0,75.0,-8793.0,70
0,10.0,58.0,-12025.0,70
0,0.0,74.0,-8678.0,70
0,10.0,57.0,-11989.0,70
0,0.0,75.0,-8642.0,70
0,10.0,58.0,-12085.0,70
0,0.0,75.0,-8708.0,70
0,10.0,58.0,-11929.0,70
0,0.0,75.0,-8693.0,70
0,10.0,57.0,-12102.0,70
0,0.0,75.0,-8610.0,70
0,10.0,58.0,-11988.0,70
0,0.0,74.0,-8716.0,70
0,10.0,57.0,-11996.0,70
0,0.0,74.0,-8723.0,70
0,10.0,58.0,-11843.0,70
0,0.0,74.0,-8897.0,70
0,10.0,57.0,-12048.0,70
0,0.0,74.0,-8629.0,70
0,10.0,58.0,-12114.0,70
0,0.0,75.0,-8552.0,70
0,10.0,58.0,-12144.0,70
0,0.0,75.0,-8780.0,70
0,10.0,57.0,-12071.0,70
0,0.0,74.0,-8499.0,70
0,10.0,57.0,-12170.0,70
0,0.0,74.0,-8978.0,70
0,10.0,57.0,-11965.0,70
0,0.0,74.0,-8974.0,70
0,10.0,57.0,-11947.0,70
0,0.0,74.0,-8552.0,70
0,10.0,57.0,-11937.0,70
0,0.0,74.0,-8730.0,70
0,10.0,57.0,-12117.0,70
0,0.0,74.0,-8736.0,70
0,10.0,57.0,-12130.0,70
0,0.0,74.0,-8695.0,70
0,10.0,57.0,-11934.0,70
0,0.0,75.0,-8657.0,70
0,10.0,58.0,-12226.0,70
0,0.0,74.0,-8652.0,70
0,10.0,58.0,-11946.0,70
0,0.0,74.0,-8706.0,70
0,10.0,57.0,-12293.0,70
0,0.0,75.0,-8737.0,70
0,10.0,57.0,-12005.0,70
0,0.0,74.0,-8879.0,70
0,10.0,58.0,-12005.0,70
0,0.0,74.0,-8865.0,70
0,10.0,58.0,-12013.0,70
0,0.0,74.0,-8819.0,70
0,10.0,58.0,-11989.0,70
0,0.0,75.0,-8519.0,70
0,10.0,58.0,-11926.0,70
0,0.0,74.0,-8795.0,70
0,10.0,58.0,-11931.0,70
0,0.0,74.0,-8747.0,70
0,10.0,57.0,-11990.0,70
0,0.0,74.0,-8725.0,70
0,10.0,57.0,-12167.0,70
0,0.0,74.0,-8699.0,70
0,10.0,57.0,-11866.0,70
0,0.0,74.0,-8552.0,70
0,10.0,58.0,-12014.0,70
0,0.0,74.0,-8690.0,70
0,10.0,58.0,-11839.0,70
0,0.0,75.0,-8681.0,70
0,10.0,58.0,-12175.0,70
0,0.0,75.0,-8605.0,70
0,10.0,57.0,-12134.0,70
0,0.0,74.0,-8602.0,70
0,10.0,58.0,-11960.0,70
0,0.0,74.0,-8578.0,70
0,10.0,57.0,-12138.0,70
0,0.0,74.0,-8631.0,70
0,10.0,58.0,-11941.0,70
0,0.0,74.0,-8661.0,70
0,10.0,58.0,-11942.0,70
0,0.0,75.0,-8802.0,70
0,10.0,57.0,-11943.0,70
0,0.0,75.0,-8731.0,70
0,10.0,57.0,-11880.0,70
0,0.0,74.0,-8843.0,70
0,10.0,58.0,-12009.0,70
0,0.0,74.0,-8724.0,70
0,10.0,57.0,-12030.0,70
0,0.0,75.0,-8708.0,70
0,10.0,57.0,-12100.0,70
0,0.0,74.0,-8769.0,70
0,10.0,58.0,-12074.0,70
0,0.0,74.0,-8843.0,70
0,10.0,57.0,-12143.0,70
0,0.0,75.0,-8749.0,70
0,10.0,57.0,-12173.0,70
0,0.0,75.0,-8686.0,70
0,10.0,58.0,-12085.0,70
0,0.0,74.0,-8600.0,70
0,10.0,57.0,-11910.0,70
0,0.0,74.0,-8534.0,70
0,10.0,58.0,-11931.0,70
0,0.0,74.0,-8764.0,70
0,10.0,57.0,-11885.0,70
0,0.0,75.0,-8638.0,70
0,10.0,58.0,-12099.0,70
0,0.0,74.0,-8831.0,70
0,10.0,57.0,-11958.0,70
0,0.0,74.0,-8720.0,70
0,10.0,57.0,-12004.0,70
0,0.0,74.0,-8721.0,70
0,10.0,58.0,-11954.0,70
0,0.0,75.0,-8849.0,70
0,10.0,57.0,-11864.0,70
0,0.0,74.0,-8617.0,70
0,10.0,58.0,-11963.0,70
0,0.0,75.0,-8573.0,70
0,10.0,57.0,-11888.0,70
0,0.0,74.0,-8621.0,70
0,10.0,58.0,-11953.0,70
0,0.0,74.0,-8756.0,70
0,10.0,58.0,-11985.0,70
0,0.0,74.0,-8871.0,70
0,10.0,58.0,-11985.0,70
0,0.0,74.0,-8813.0,70
0,10.0,58.0,-11859.0,70
0,0.0,75.0,-8827.0,70
0,10.0,58.0,-11978.0,70
0,0.0,74.0,-8723.0,70
0,10.0,58.0,-11994.0,70
0,0.0,74.0,-8782.0,70
0,10.0,57.0,-12016.0,70
0,0.0,74.0,-8538.0,70
0,10.0,58.0,-12086.0,70
0,0.0,75.0,-8572.0,70
0,10.0,58.0,-11995.0,70
0,0.0,74.0,-8754.0,70
0,10.0,57.0,-11847.0,70
0,0.0,75.0,-8556.0,70
0,10.0,58.0,-11994.0,70
0,0.0,74.0,-8726.0,70
0,10.0,58.0,-12025.0,70
0,0.0,74.0,-8575.0,70
0,10.0,59.0,-11897.0,70
0,0.0,74.0,-8665.0,70
0,10.0,57.0,-12086.0,70
0,0.0,74.0,-8753.0,70
0,10.0,58.0,-12088.0,70
0,0.0,74.0,-8785.0,70
0,10.0,58.0,-12126.0,70
0,0.0,74.0,-8570.0,70
0,10.0,58.0,-11910.0,70
0,0.0,75.0,-8572.0,70
0,10.0,57.0,-12213.0,70
0,0.0,75.0,-8686.0,70
0,10.0,57.0,-12129.0,70
0,0.0,74.0,-8895.0,70
0,10.0,57.0,-11848.0,70
0,0.0,74.0,-8768.0,70
0,10.0,57.0,-11979.0,70
0,0.0,74.0,-8630.0,70
0,10.0,58.0,-12003.0,70
0,0.0,74.0,-8761.0,70
0,10.0,57.0,-11970.0,70
1,0.0,76.0,-13410.0,68
1,0.0,76.0,-13334.0,68
1,0.0,76.0,-13607.0,68
1,0.0,76.0,-13760.0,68
1,0.0,75.0,-13824.0,68
1,0.0,76.0,-13793.0,68
1,0.0,76.0,-13763.0,68
1,0.0,76.0,-14018.0,68
1,0.0,76.0,-16010.0,68
1,0.0,77.0,-10992.0,68
1,10.0,64.0,-22775.0,68
1,0.0,94.0,-15200.0,68
1,10.0,61.0,-10515.0,68
1,0.0,75.0,-6190.0,68
1,10.0,61.0,-10453.0,68
1,11.0,141.0,-27352.0,68
1,0.0,74.0,-6139.0,68
1,10.0,62.0,-10419.0,68
1,0.0,75.0,-5706.0,68
1,10.0,62.0,-10441.0,68
1,0.0,75.0,-5757.0,68
1,10.0,62.0,-10395.0,68
1,0.0,74.0,-6107.0,68
1,10.0,62.0,-10434.0,68
1,0.0,75.0,-6198.0,68
1,10.0,62.0,-10568.0,68
1,11.0,140.0,-27212.0,68
1,0.0,75.0,-6164.0,68
1,10.0,62.0,-10473.0,68
1,0.0,75.0,-6115.0,68
1,10.0,62.0,-10523.0,68
1,0.0,75.0,-6136.0,68
1,10.0,62.0,-10482.0,68
1,0.0,75.0,-6143.0,68
1,10.0,62.0,-10428.0,68
1,0.0,75.0,-6042.0,68
1,10.0,62.0,-10500.0,68
1,11.0,140.0,-27711.0,68
1,0.0,75.0,-6088.0,68
1,10.0,62.0,-10552.0,68
1,0.0,75.0,-6159.0,68
1,10.0,62.0,-10528.0,68
1,0.0,75.0,-6255.0,68
1,10.0,62.0,-10463.0,68
1,0.0,75.0,-6108.0,68
1,10.0,62.0,-10500.0,68
1,11.0,141.0,-27209.0,68
1,0.0,75.0,-6141.0,68
1,10.0,62.0,-10541.0,68
1,0.0,75.0,-6220.0,68
1,10.0,62.0,-10481.0,68
1,11.0,140.0,-27371.0,68
1,0.0,75.0,-6115.0,68
1,10.0,62.0,-10507.0,68
1,0.0,75.0,-6114.0,68
1,10.0,62.0,-10512.0,68
1,0.0,75.0,-6102.0,68
1,10.0,62.0,-10548.0,68
1,0.0,75.0,-6054.0,68
1,10.0,62.0,-10469.0,68
1,0.0,75.0,-6107.0,68
1,10.0,62.0,-10415.0,68
1,0.0,74.0,-6217.0,68
1,10.0,62.0,-10498.0,68
1,0.0,75.0,-6166.0,68
1,10.0,62.0,-10437.0,68
1,11.0,140.0,-27359.0,68
1,0.0,75.0,-6174.0,68
1,10.0,62.0,-10417.0,68
1,11.0,140.0,-27322.0,68
1,0.0,75.0,-6100.0,68
1,10.0,62.0,-10489.0,68
1,0.0,75.0,-6159.0,68
1,10.0,62.0,-10413.0,68
1,0.0,74.0,-6181.0,68
1,10.0,62.0,-10491.0,68
1,0.0,75.0,-6086.0,68
1,10.0,62.0,-10376.0,68
1,11.0,141.0,-27082.0,68
1,0.0,75.0,-6245.0,68
1,10.0,62.0,-10521.0,68
1,0.0,75.0,-6150.0,68
1,10.0,62.0,-10459.0,68
1,11.0,142.0,-26873.0,68
1,0.0,75.0,-6239.0,68
1,10.0,62.0,-10483.0,68
1,0.0,75.0,-6078.0,68
1,10.0,62.0,-10480.0,68
1,0.0,74.0,-6189.0,68
1,10.0,62.0,-10452.0,68
1,0.0,75.0,-6129.0,68
1,10.0,61.0,-10629.0,68
1,11.0,139.0,-27752.0,68
1,0.0,75.0,-6169.0,68
1,10.0,62.0,-10489.0,68
1,0.0,75.0,-6115.0,68
1,10.0,62.0,-10489.0,68
1,0.0,75.0,-6089.0,68
1,10.0,62.0,-10410.0,68
1,11.0,140.0,-27392.0,68
1,0.0,75.0,-6189.0,68
1,10.0,62.0,-10583.0,68
1,11.0,140.0,-27203.0,68
1,0.0,75.0,-6050.0,68
1,10.0,62.0,-10502.0,68
1,0.0,75.0,-6270.0,68
1,10.0,62.0,-10502.0,68
1,0.0,75.0,-6215.0,68
1,10.0,62.0,-10444.0,68
1,11.0,140.0,-27435.0,68
1,0.0,75.0,-6260.0,68
1,10.0,62.0,-10492.0,68
1,0.0,75.0,-6174.0,68
1,10.0,62.0,-10527.0,68
1,11.0,141.0,-27070.0,68
1,0.0,74.0,-6110.0,68
1,10.0,62.0,-10471.0,68
1,11.0,141.0,-27332.0,68
1,0.0,75.0,-6138.0,68
1,10.0,62.0,-10417.0,68
1,0.0,75.0,-6191.0,68
1,10.0,62.0,-10366.0,68
1,11.0,141.0,-27229.0,68
1,0.0,74.0,-6173.0,68
1,10.0,62.0,-10465.0,68
1,11.0,141.0,-27356.0,68
1,0.0,75.0,-6220.0,68
1,10.0,62.0,-10509.0,68
1,11.0,141.0,-26817.0,68
1,0.0,75.0,-6101.0,68
1,10.0,62.0,-10496.0,68
1,0.0,75.0,-6119.0,68
1,10.0,62.0,-10461.0,68
1,0.0,75.0,-6276.0,68
1,10.0,62.0,-10465.0,68
1,0.0,75.0,-6091.0,68
1,10.0,62.0,-10472.0,68
1,11.0,143.0,-27823.0,68
1,0.0,75.0,-6176.0,68
