trial,register,rdistance,strength,edistance
0,10.0,223.0,-11362.0,70
0,10.0,222.0,-11429.0,70
0,10.0,222.0,-11311.0,70
0,10.0,222.0,-10672.0,70
0,10.0,222.0,-11403.0,70
0,10.0,222.0,-11138.0,70
0,10.0,223.0,-11133.0,70
0,10.0,222.0,-11198.0,70
0,11.0,285.0,-22465.0,70
0,10.0,222.0,-11139.0,70
0,10.0,223.0,-11208.0,70
0,10.0,222.0,-11236.0,70
0,10.0,223.0,-11206.0,70
0,10.0,222.0,-11430.0,70
0,10.0,222.0,-11337.0,70
0,10.0,221.0,-11316.0,70
0,10.0,221.0,-11412.0,70
0,10.0,221.0,-11345.0,70
0,10.0,223.0,-11290.0,70
0,10.0,221.0,-11374.0,70
0,10.0,220.0,-11390.0,70
0,10.0,223.0,-11023.0,70
0,10.0,222.0,-11288.0,70
0,10.0,223.0,-10949.0,70
0,10.0,221.0,-11064.0,70
0,10.0,222.0,-11452.0,70
0,10.0,221.0,-12016.0,70
0,11.0,68.0,-19168.0,70
0,10.0,220.0,-11386.0,70
0,10.0,219.0,-14409.0,70
0,11.0,72.0,-23391.0,70
0,10.0,220.0,-16168.0,70
0,11.0,74.0,-26801.0,70
0,10.0,221.0,-11340.0,70
0,10.0,221.0,-11258.0,70
0,10.0,221.0,-11350.0,70
0,10.0,223.0,-11195.0,70
0,10.0,221.0,-11440.0,70
0,10.0,221.0,-11453.0,70
0,10.0,221.0,-11428.0,70
0,10.0,222.0,-11212.0,70
0,10.0,221.0,-11388.0,70
0,10.0,223.0,-11419.0,70
0,10.0,222.0,-11478.0,70
0,10.0,221.0,-11395.0,70
0,10.0,222.0,-11127.0,70
0,10.0,220.0,-11268.0,70
0,10.0,223.0,-10920.0,70
0,10.0,222.0,-11353.0,70
0,10.0,221.0,-11526.0,70
0,10.0,222.0,-11182.0,70
0,10.0,221.0,-10974.0,70
0,10.0,222.0,-10997.0,70
0,10.0,220.0,-11414.0,70
0,10.0,221.0,-10839.0,70
0,10.0,221.0,-11434.0,70
0,10.0,221.0,-11196.0,70
0,10.0,221.0,-11526.0,70
0,10.0,222.0,-11579.0,70
0,10.0,223.0,-11378.0,70
0,10.0,221.0,-11484.0,70
0,10.0,222.0,-11234.0,70
0,10.0,221.0,-11306.0,70
0,10.0,221.0,-11486.0,70
0,10.0,221.0,-11096.0,70
0,10.0,221.0,-11584.0,70
0,10.0,221.0,-11182.0,70
0,10.0,223.0,-11551.0,70
0,10.0,221.0,-11019.0,70
0,10.0,223.0,-10980.0,70
0,10.0,222.0,-11484.0,70
0,10.0,222.0,-11653.0,70
0,10.0,222.0,-11740.0,70
0,10.0,221.0,-11453.0,70
0,10.0,222.0,-11358.0,70
0,10.0,221.0,-11459.0,70
0,10.0,222.0,-11260.0,70
0,10.0,222.0,-11185.0,70
0,10.0,223.0,-11089.0,70
0,10.0,223.0,-11823.0,70
0,10.0,221.0,-11413.0,70
0,10.0,223.0,-11727.0,70
0,10.0,222.0,-11472.0,70
0,10.0,221.0,-11455.0,70
0,11.0,283.0,-22371.0,70
0,10.0,223.0,-11304.0,70
0,10.0,223.0,-11552.0,70
0,10.0,221.0,-11000.0,70
0,10.0,221.0,-11349.0,70
0,10.0,222.0,-11393.0,70
0,10.0,221.0,-11062.0,70
0,10.0,220.0,-11183.0,70
0,10.0,221.0,-11149.0,70
0,10.0,222.0,-11369.0,70
0,10.0,222.0,-11702.0,70
0,10.0,222.0,-11412.0,70
0,10.0,221.0,-11368.0,70
0,10.0,223.0,-11656.0,70
0,10.0,222.0,-11123.0,70
0,10.0,222.0,-11526.0,70
0,10.0,222.0,-11330.0,70
0,10.0,222.0,-11452.0,70
0,10.0,222.0,-11049.0,70
0,10.0,221.0,-11426.0,70
0,10.0,221.0,-11355.0,70
0,10.0,222.0,-11349.0,70
0,10.0,222.0,-11218.0,70
0,10.0,221.0,-11075.0,70
0,10.0,222.0,-11260.0,70
0,10.0,222.0,-11158.0,70
0,10.0,223.0,-11753.0,70
0,10.0,221.0,-11113.0,70
0,10.0,223.0,-11056.0,70
0,10.0,222.0,-11112.0,70
0,10.0,222.0,-11395.0,70
0,10.0,222.0,-11472.0,70
0,0.0,219.0,-12636.0,70
0,10.0,223.0,-11565.0,70
0,0.0,123.0,-11278.0,70
0,10.0,221.0,-11227.0,70
0,0.0,132.0,-15026.0,70
0,10.0,222.0,-11236.0,70
0,0.0,205.0,-15713.0,70
0,10.0,222.0,-11035.0,70
0,10.0,222.0,-11586.0,70
0,10.0,222.0,-11302.0,70
0,10.0,222.0,-11500.0,70
0,10.0,223.0,-11473.0,70
0,10.0,222.0,-11323.0,70
0,10.0,221.0,-11362.0,70
0,10.0,223.0,-10978.0,70
0,0.0,193.0,-25601.0,70
0,10.0,222.0,-11247.0,70
0,10.0,222.0,-11551.0,70
0,10.0,223.0,-11290.0,70
0,10.0,221.0,-11273.0,70
0,10.0,221.0,-11543.0,70
0,10.0,222.0,-11390.0,70
0,10.0,223.0,-11278.0,70
0,10.0,223.0,-11400.0,70
0,10.0,221.0,-11113.0,70
0,10.0,222.0,-11201.0,70
